"year","location","id","block","stand.age","treatment","fall","spring","summer","yield.kgperha","lodging","height_1","height_2","height_3","height_4","height_5","cumn","cumulative.grain.yield"
"2019","RSMT R-100","317","3","3","140 fall split",60,0,80,61.07,"10","126","148","146","144","143",140,NA
"2019","RSMT R-100","318","3","3","100 spring",0,60,40,70.72,"10","137","138","145","145","142",100,NA
"2019","Staples","407","1","2","60 fall",60,0,0,656.3,NA,NA,NA,NA,NA,NA,60,1157.2
"2019","Staples","515","2","2","60 fall",60,0,0,737,NA,NA,NA,NA,NA,NA,60,1124.3
"2019","Staples","613","3","2","60 fall",60,0,0,919.8,NA,NA,NA,NA,NA,NA,60,1271.2
"2019","Staples","406","1","2","80 fall",60,0,20,989.8,NA,NA,NA,NA,NA,NA,80,1447.6
"2019","Staples","511","2","2","80 fall",60,0,20,543.3,NA,NA,NA,NA,NA,NA,80,1029.8
"2019","Staples","610","3","2","80 fall",60,0,20,720.8,NA,NA,NA,NA,NA,NA,80,1267.1
"2019","Staples","402","1","2","100 fall",60,0,40,790.7,NA,NA,NA,NA,NA,NA,100,1375.2
"2019","Staples","501","2","2","100 fall",60,0,40,489.5,NA,NA,NA,NA,NA,NA,100,1057.3
"2019","Staples","612","3","2","100 fall",60,0,40,521.8,NA,NA,NA,NA,NA,NA,100,1031
"2019","Staples","417","1","2","120 fall",60,0,60,790.7,NA,NA,NA,NA,NA,NA,120,1301.1
"2019","Staples","513","2","2","120 fall",60,0,60,801.5,NA,NA,NA,NA,NA,NA,120,1176.8
"2019","Staples","604","3","2","120 fall",60,0,60,559.4,NA,NA,NA,NA,NA,NA,120,779.3
"2020","Staples","407","1","3","60 fall",60,0,0,285.1,NA,NA,NA,NA,NA,NA,60,1442.3
"2020","Staples","515","2","3","60 fall",60,0,0,400.8,NA,NA,NA,NA,NA,NA,60,1525.1
"2020","Staples","613","3","3","60 fall",60,0,0,408.8,NA,NA,NA,NA,NA,NA,60,1680
"2020","Staples","406","1","3","80 fall",60,0,20,349.6,NA,NA,NA,NA,NA,NA,80,1797.2
"2020","Staples","511","2","3","80 fall",60,0,20,634.7,NA,NA,NA,NA,NA,NA,80,1664.5
"2020","Staples","610","3","3","80 fall",60,0,20,349.6,NA,NA,NA,NA,NA,NA,80,1616.7
"2020","Staples","402","1","3","100 fall",60,0,40,145.2,NA,NA,NA,NA,NA,NA,100,1520.4
"2020","Staples","501","2","3","100 fall",60,0,40,355,NA,NA,NA,NA,NA,NA,100,1412.3
"2020","Staples","612","3","3","100 fall",60,0,40,371.2,NA,NA,NA,NA,NA,NA,100,1402.2
"2020","Staples","417","1","3","120 fall",60,0,60,314.7,NA,NA,NA,NA,NA,NA,120,1615.8
"2020","Staples","513","2","3","120 fall",60,0,60,559.4,NA,NA,NA,NA,NA,NA,120,1736.2
"2020","Staples","604","3","3","120 fall",60,0,60,290.5,NA,NA,NA,NA,NA,NA,120,1069.8
"2019","Staples","418","1","2","80 fall split",60,0,20,812.3,NA,NA,NA,NA,NA,NA,80,1455.4
"2019","Staples","514","2","2","80 fall split",60,0,20,634.7,NA,NA,NA,NA,NA,NA,80,1129.6
"2019","Staples","615","3","2","80 fall split",60,0,20,726.2,NA,NA,NA,NA,NA,NA,80,1152.9
"2019","Staples","403","1","2","100 fall split",60,0,40,570.2,NA,NA,NA,NA,NA,NA,100,1448.8
"2019","Staples","507","2","2","100 fall split",60,0,40,688.5,NA,NA,NA,NA,NA,NA,100,1247.9
"2019","Staples","611","3","2","100 fall split",60,0,40,634.7,NA,NA,NA,NA,NA,NA,100,1296.9
"2019","Staples","410","1","2","120 fall split",60,0,60,548.7,NA,NA,NA,NA,NA,NA,120,1540.9
"2019","Staples","502","2","2","120 fall split",60,0,60,575.6,NA,NA,NA,NA,NA,NA,120,1294
"2019","Staples","614","3","2","120 fall split",60,0,60,780,NA,NA,NA,NA,NA,NA,120,1303.6
"2019","Staples","413","1","2","140 fall split",60,0,80,392.7,NA,NA,NA,NA,NA,NA,140,1322.7
"2019","Staples","508","2","2","140 fall split",60,0,80,371.2,NA,NA,NA,NA,NA,NA,140,1188.8
"2019","Staples","606","3","2","140 fall split",60,0,80,484.1,NA,NA,NA,NA,NA,NA,140,964.6
"2020","Staples","418","1","3","80 fall split",60,0,20,414.2,NA,NA,NA,NA,NA,NA,80,1869.6
"2020","Staples","514","2","3","80 fall split",60,0,20,387.3,NA,NA,NA,NA,NA,NA,80,1516.9
"2020","Staples","615","3","3","80 fall split",60,0,20,250.1,NA,NA,NA,NA,NA,NA,80,1403
"2020","Staples","403","1","3","100 fall split",60,0,40,271.6,NA,NA,NA,NA,NA,NA,100,1720.4
"2020","Staples","507","2","3","100 fall split",60,0,40,403.4,NA,NA,NA,NA,NA,NA,100,1651.3
"2020","Staples","611","3","3","100 fall split",60,0,40,430.3,NA,NA,NA,NA,NA,NA,100,1727.2
"2020","Staples","410","1","3","120 fall split",60,0,60,282.4,NA,NA,NA,NA,NA,NA,120,1823.3
"2020","Staples","502","2","3","120 fall split",60,0,60,330.8,NA,NA,NA,NA,NA,NA,120,1624.8
"2020","Staples","614","3","3","120 fall split",60,0,60,225.9,NA,NA,NA,NA,NA,NA,120,1529.5
"2020","Staples","413","1","3","140 fall split",60,0,80,247.4,NA,NA,NA,NA,NA,NA,140,1570.1
"2020","Staples","508","2","3","140 fall split",60,0,80,338.9,NA,NA,NA,NA,NA,NA,140,1527.7
"2020","Staples","606","3","3","140 fall split",60,0,80,347,NA,NA,NA,NA,NA,NA,140,1311.6
"2018","Staples","418","1","1","80 fall split",0,0,20,643.1,NA,NA,NA,NA,NA,NA,20,643.1
"2018","Staples","514","2","1","80 fall split",0,0,20,494.9,NA,NA,NA,NA,NA,NA,20,494.9
"2018","Staples","615","3","1","80 fall split",0,0,20,426.7,NA,NA,NA,NA,NA,NA,20,426.7
"2018","Staples","403","1","1","100 fall split",0,0,40,878.6,NA,NA,NA,NA,NA,NA,40,878.6
"2018","Staples","507","2","1","100 fall split",0,0,40,559.4,NA,NA,NA,NA,NA,NA,40,559.4
"2018","Staples","611","3","1","100 fall split",0,0,40,662.2,NA,NA,NA,NA,NA,NA,40,662.2
"2018","Staples","410","1","1","120 fall split",0,0,60,992.2,NA,NA,NA,NA,NA,NA,60,992.2
"2018","Staples","502","2","1","120 fall split",0,0,60,718.4,NA,NA,NA,NA,NA,NA,60,718.4
"2018","Staples","614","3","1","120 fall split",0,0,60,523.6,NA,NA,NA,NA,NA,NA,60,523.6
"2018","Staples","413","1","1","140 fall split",0,0,80,930,NA,NA,NA,NA,NA,NA,80,930
"2018","Staples","508","2","1","140 fall split",0,0,80,817.6,NA,NA,NA,NA,NA,NA,80,817.6
"2018","Staples","606","3","1","140 fall split",0,0,80,480.5,NA,NA,NA,NA,NA,NA,80,480.5
"2018","Staples","401","1","1","60 spring",0,60,0,1011,NA,NA,NA,NA,NA,NA,60,1011
"2018","Staples","506","2","1","60 spring",0,60,0,1052,NA,NA,NA,NA,NA,NA,60,1052
"2018","Staples","617","3","1","60 spring",0,60,0,399.3,NA,NA,NA,NA,NA,NA,60,399.3
"2018","Staples","405","1","1","80 spring",0,60,20,1093,NA,NA,NA,NA,NA,NA,80,1093
"2018","Staples","503","2","1","80 spring",0,60,20,946.7,NA,NA,NA,NA,NA,NA,80,946.7
"2018","Staples","607","3","1","80 spring",0,60,20,675.4,NA,NA,NA,NA,NA,NA,80,675.4
"2018","Staples","414","1","1","100 spring",0,60,40,1108,NA,NA,NA,NA,NA,NA,100,1108
"2018","Staples","516","2","1","100 spring",0,60,40,884.6,NA,NA,NA,NA,NA,NA,100,884.6
"2018","Staples","609","3","1","100 spring",0,60,40,998.1,NA,NA,NA,NA,NA,NA,100,998.1
"2018","Staples","409","1","1","120 spring",0,60,60,800.9,NA,NA,NA,NA,NA,NA,120,800.9
"2018","Staples","509","2","1","120 spring",0,60,60,675.4,NA,NA,NA,NA,NA,NA,120,675.4
"2018","Staples","608","3","1","120 spring",0,60,60,1014,NA,NA,NA,NA,NA,NA,120,1014
"2018","Staples","416","1","1","140 spring",0,60,80,1124,NA,NA,NA,NA,NA,NA,140,1124
"2018","Staples","510","2","1","140 spring",0,60,80,777,NA,NA,NA,NA,NA,NA,140,777
"2018","Staples","602","3","1","140 spring",0,60,80,622.8,NA,NA,NA,NA,NA,NA,140,622.8
"2019","Staples","401","1","2","60 spring",0,60,0,543.3,NA,NA,NA,NA,NA,NA,60,1554.3
"2019","Staples","506","2","2","60 spring",0,60,0,349.6,NA,NA,NA,NA,NA,NA,60,1401.6
"2019","Staples","617","3","2","60 spring",0,60,0,478.7,NA,NA,NA,NA,NA,NA,60,878
"2019","Staples","405","1","2","80 spring",0,60,20,602.5,NA,NA,NA,NA,NA,NA,80,1695.5
"2019","Staples","503","2","2","80 spring",0,60,20,414.2,NA,NA,NA,NA,NA,NA,80,1360.9
"2019","Staples","607","3","2","80 spring",0,60,20,758.5,NA,NA,NA,NA,NA,NA,80,1433.9
"2019","Staples","414","1","2","100 spring",0,60,40,484.1,NA,NA,NA,NA,NA,NA,100,1592.1
"2019","Staples","516","2","2","100 spring",0,60,40,317.4,NA,NA,NA,NA,NA,NA,100,1202
"2019","Staples","609","3","2","100 spring",0,60,40,763.8,NA,NA,NA,NA,NA,NA,100,1761.9
"2019","Staples","409","1","2","120 spring",0,60,60,381.9,NA,NA,NA,NA,NA,NA,120,1182.8
"2019","Staples","509","2","2","120 spring",0,60,60,478.7,NA,NA,NA,NA,NA,NA,120,1154.1
"2019","Staples","608","3","2","120 spring",0,60,60,484.1,NA,NA,NA,NA,NA,NA,120,1498.1
"2019","Staples","416","1","2","140 spring",0,60,80,462.6,NA,NA,NA,NA,NA,NA,140,1586.6
"2019","Staples","510","2","2","140 spring",0,60,80,225.9,NA,NA,NA,NA,NA,NA,140,1002.9
"2019","Staples","602","3","2","140 spring",0,60,80,559.4,NA,NA,NA,NA,NA,NA,140,1182.2
"2020","Staples","401","1","3","60 spring",0,60,0,56.48,NA,NA,NA,NA,NA,NA,60,1610.78
"2020","Staples","506","2","3","60 spring",0,60,0,169.4,NA,NA,NA,NA,NA,NA,60,1571
"2020","Staples","617","3","3","60 spring",0,60,0,113,NA,NA,NA,NA,NA,NA,60,991
"2020","Staples","405","1","3","80 spring",0,60,20,295.9,NA,NA,NA,NA,NA,NA,80,1991.4
"2020","Staples","503","2","3","80 spring",0,60,20,86.07,NA,NA,NA,NA,NA,NA,80,1446.97
"2020","Staples","607","3","3","80 spring",0,60,20,86.07,NA,NA,NA,NA,NA,NA,80,1519.97
"2020","Staples","414","1","3","100 spring",0,60,40,201.7,NA,NA,NA,NA,NA,NA,100,1793.8
"2020","Staples","516","2","3","100 spring",0,60,40,158.7,NA,NA,NA,NA,NA,NA,100,1360.7
"2020","Staples","609","3","3","100 spring",0,60,40,381.9,NA,NA,NA,NA,NA,NA,100,2143.8
"2020","Staples","409","1","3","120 spring",0,60,60,201.7,NA,NA,NA,NA,NA,NA,120,1384.5
"2020","Staples","509","2","3","120 spring",0,60,60,94.14,NA,NA,NA,NA,NA,NA,120,1248.24
